name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileage_kmpl,engine_cc,max_power_bhp,torque_nm,log_selling_price
Chevrolet Beat LT,2015,250000,23500,Petrol,Individual,Manual,First Owner,5,18.6,1199,76.8,106.5,12.429216196844383
Honda City i-DTEC VX,2017,975000,82000,Diesel,Individual,Manual,First Owner,5,25.6,1498,97.9,200.0,13.790192749979985
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,900000,100000,Diesel,Individual,Manual,Second Owner,8,12.99,2494,100.6,200.0,13.710150042306449
Hyundai i20 1.2 Spotz,2018,610000,15000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,114.7,13.321214236149494
Maruti Baleno Zeta 1.3,2017,620000,30000,Diesel,Individual,Manual,First Owner,5,27.39,1248,74.0,190.0,13.337474757021274
Hyundai Grand i10 Sportz,2016,400000,30000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82.0,114.0,12.89921982609012
Maruti Celerio X ZXI BSIV,2019,500000,11000,Petrol,Individual,Manual,First Owner,5,21.63,998,67.0,90.0,13.122363377404328
Datsun GO Plus T,2017,200000,140000,Petrol,Individual,Manual,First Owner,7,19.02,1198,67.05,104.0,12.206072645530174
Maruti Alto K10 2010-2014 VXI,2012,252000,48000,Petrol,Individual,Manual,First Owner,5,20.92,998,67.1,90.0,12.437184366493561
Maruti Swift VDI,2012,280000,70000,Diesel,Individual,Manual,Second Owner,5,22.9,1248,74.0,190.0,12.542544882151386
Maruti Swift VXI 2018,2018,509999,70000,Petrol,Individual,Manual,Second Owner,5,22.0,1197,81.8,113.0,13.142164043914272
Mahindra Scorpio 1.99 S6 Plus,2016,1050000,58000,Diesel,Individual,Manual,First Owner,7,15.4,1997,120.0,280.0,13.864300722133706
Maruti Wagon R LXI DUO BSIII,2010,200000,40000,LPG,Individual,Manual,Fourth & Above Owner,5,12.11,1061,57.5,4905.0,12.206072645530174
Mahindra Xylo E8 ABS Airbag,2010,320000,40000,Diesel,Individual,Manual,Second Owner,7,14.0,2498,112.0,260.0,12.676076274775909
Mahindra Scorpio LX,2013,520000,110000,Diesel,Individual,Manual,First Owner,9,12.05,2179,120.0,290.0,13.16158409055761
Tata New Safari DICOR 2.2 LX 4x2,2007,250000,80000,Diesel,Individual,Manual,Second Owner,7,11.57,2179,138.1,320.0,12.429216196844383
Maruti Vitara Brezza ZDi,2017,725000,60000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,200.0,13.493926933836812
Maruti Swift VDI,2011,235000,100000,Diesel,Individual,Manual,Second Owner,5,22.9,1248,74.0,190.0,12.367340793126296
Maruti Swift Dzire VDi,2012,350000,52000,Diesel,Individual,Manual,Third Owner,5,19.3,1248,73.9,190.0,12.765688433465597
Hyundai i10 Era 1.1,2010,131000,80000,Petrol,Individual,Manual,Third Owner,5,19.81,1086,68.05,99.04,11.782952602183288
Honda Amaze VX i-DTEC,2016,450000,85000,Diesel,Individual,Manual,First Owner,5,25.8,1498,98.6,200.0,13.017002861746503
Maruti Vitara Brezza ZDi Plus,2016,750000,83000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,200.0,13.527828485512494
Maruti Wagon R LXI Minor,2009,125000,120000,Petrol,Individual,Manual,Fourth & Above Owner,5,18.9,1061,67.0,84.0,11.736069016284437
Mahindra Bolero 2011-2019 SLE,2014,500000,100000,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,195.0,13.122363377404328
Maruti Swift VDI,2012,380000,70000,Diesel,Individual,Manual,Third Owner,5,22.9,1248,74.0,190.0,12.84792653170257
Maruti Alto LXi,2008,128000,19000,Petrol,Individual,Manual,First Owner,5,19.7,796,46.3,62.0,11.759785542901755
Honda City 1.5 S MT,2009,250000,68600,Petrol,Individual,Manual,Third Owner,5,17.0,1497,118.0,146.0,12.429216196844383
Honda City E,2012,560000,40000,Petrol,Individual,Manual,Second Owner,5,16.8,1497,116.3,146.0,13.235692062711331
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,120000,160000,Diesel,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,11.695247021764184
Maruti Celerio VXI,2016,400000,25000,Petrol,Individual,Manual,First Owner,5,23.1,998,67.04,90.0,12.89921982609012
Maruti Alto K10 LXI,2012,200000,29500,Petrol,Individual,Manual,First Owner,5,20.92,998,67.1,90.0,12.206072645530174
Maruti Alto 800 VXI,2016,300000,50000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,69.0,12.611537753638338
Renault KWID RXL,2016,315000,30000,Petrol,Individual,Manual,Second Owner,5,25.17,799,53.3,72.0,12.66032791780777
Maruti Alto 800 LXI,2012,220000,100000,Petrol,Individual,Manual,First Owner,5,22.74,796,47.3,69.0,12.301382825334498
Chevrolet Aveo 1.4 LS,2011,130000,60000,Petrol,Individual,Manual,Second Owner,5,14.49,1399,92.7,127.0,11.77528972943772
Hyundai i20 Sportz Option 1.4 CRDi,2016,595000,60000,Diesel,Individual,Manual,Second Owner,5,22.54,1396,88.73,219.7,13.296316684527767
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,680000,13500,Petrol,Individual,Manual,First Owner,5,17.0,1497,121.36,150.0,13.42984807715229
Maruti Baleno Delta 1.2,2017,530000,30000,Petrol,Individual,Manual,Second Owner,5,21.4,1197,83.1,115.0,13.180632285528304
Hyundai Xcent 1.2 Kappa SX Option,2017,610000,14000,Petrol,Individual,Manual,First Owner,5,19.1,1197,82.0,114.0,13.321214236149494
Tata Aria Pure LX 4x2,2014,500000,90000,Diesel,Individual,Manual,Second Owner,7,15.05,2179,147.9,320.0,13.122363377404328
Tata Tigor 1.05 Revotorq XM,2018,500000,50000,Diesel,Individual,Manual,First Owner,5,24.7,1047,69.0,140.0,13.122363377404328
Hyundai EON Magna Plus,2018,325000,10000,Petrol,Individual,Manual,First Owner,5,21.1,814,55.2,74.5,12.691580461311874
Maruti Baleno Delta 1.2,2018,550000,10000,Petrol,Individual,Manual,First Owner,5,21.4,1197,83.1,115.0,13.217673557208654
Maruti Ciaz 1.4 Alpha,2018,720000,25000,Petrol,Individual,Manual,First Owner,5,20.73,1373,91.1,130.0,13.487006490992238
Hyundai Verna VTVT 1.6 SX,2017,950000,20000,Petrol,Individual,Manual,First Owner,5,17.0,1591,121.3,151.0,13.764217263576723
Maruti Swift VDI,2013,350000,60000,Diesel,Individual,Manual,First Owner,5,22.9,1248,74.0,190.0,12.765688433465597
Hyundai Grand i10 1.2 Kappa Sportz Option,2018,500000,40000,Petrol,Individual,Manual,First Owner,5,18.9,1197,81.86,113.75,13.122363377404328
Maruti Swift Dzire VDi,2012,380000,60000,Diesel,Individual,Manual,First Owner,5,19.3,1248,73.9,190.0,12.84792653170257
Hyundai Xcent 1.2 Kappa AT SX Option,2015,380000,50000,Petrol,Individual,Automatic,First Owner,5,16.9,1197,82.0,114.0,12.84792653170257
Maruti Alto 800 VXI,2017,295000,35000,Petrol,Individual,Manual,First Owner,5,24.7,796,47.3,69.0,12.594730635321957
Maruti Ciaz VDi Plus SHVS,2016,640000,40000,Diesel,Individual,Manual,First Owner,5,28.09,1248,88.5,200.0,13.369223455335854
Tata Nexon 1.5 Revotorq XZ Plus,2018,790000,60000,Diesel,Individual,Manual,First Owner,5,21.5,1497,108.5,260.0,13.579788224443204
Hyundai Verna 1.6 VTVT S Option,2015,625000,20000,Petrol,Individual,Manual,First Owner,5,17.01,1591,121.4,154.9,13.345506928718539
Ford EcoSport 1.5 Petrol Trend BSIV,2017,604000,30000,Petrol,Individual,Manual,Second Owner,5,17.0,1497,121.36,150.0,13.311329476916953
Mahindra XUV300 W6 Diesel BSIV,2019,950000,17000,Diesel,Individual,Manual,First Owner,5,20.0,1497,115.0,300.0,13.764217263576723
Maruti Wagon R VXI Plus Optional,2017,400000,50000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,90.0,12.89921982609012
Hyundai i20 1.4 Magna AT,2018,700000,42000,Petrol,Individual,Automatic,First Owner,5,18.6,1368,98.63,132.3,13.458835614025542
Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,2011,700000,120000,Diesel,Individual,Manual,Second Owner,8,12.8,2494,102.0,33354.0,13.458835614025542
Mahindra Verito 1.5 D4 BSIV,2012,260000,110000,Diesel,Individual,Manual,First Owner,5,21.03,1461,65.0,160.0,12.468436909997665
Tata Indigo CR4,2012,200000,90000,Diesel,Individual,Manual,First Owner,5,23.57,1396,70.0,140.0,12.206072645530174
Maruti Dzire VXI,2020,580000,70000,Petrol,Individual,Manual,First Owner,5,23.26,1197,88.5,113.0,13.270783382522602
Volkswagen Vento IPL II Diesel Trendline,2011,330000,66000,Diesel,Individual,Manual,Second Owner,5,20.5,1598,105.0,250.0,12.706847933442663
Hyundai Verna Transform CRDi VGT SX ABS,2011,400000,70000,Diesel,Individual,Manual,Third Owner,5,16.2,1493,110.0,235.44,12.89921982609012
Hyundai Creta 1.6 SX Automatic,2018,1350000,5000,Petrol,Individual,Automatic,First Owner,5,14.8,1591,121.3,151.0,14.115615150414612
Mahindra Verito 1.5 D4 BSIV,2014,250000,50000,Diesel,Individual,Manual,Second Owner,5,21.03,1461,65.0,160.0,12.429216196844383
Skoda Rapid 1.6 MPI Ambition BSIV,2019,725000,25000,Petrol,Individual,Manual,First Owner,5,15.41,1598,103.2,153.0,13.493926933836812
Maruti Swift Dzire Tour LDI,2013,300000,70000,Diesel,Individual,Manual,First Owner,5,23.4,1248,74.0,190.0,12.611537753638338
Maruti 800 AC,2006,120000,40000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37.0,59.0,11.695247021764184
Mahindra XUV500 W10 2WD,2016,1175000,110000,Diesel,Individual,Manual,First Owner,7,16.0,2179,140.0,330.0,13.976778705560397
Tata Indica Vista TDI LX,2014,400000,45000,Diesel,Individual,Manual,First Owner,5,19.1,1405,70.0,135.4,12.89921982609012
Tata Indigo LX,2005,140000,90000,Diesel,Individual,Manual,Third Owner,5,16.1,1405,70.0,4905.0,11.84939770159144
Ford Ikon 1.3 CLXi,2003,110000,83000,Petrol,Individual,Manual,Second Owner,5,13.8,1299,70.0,4905.0,11.608235644774552
Volkswagen Jetta 2.0L TDI Highline AT,2011,550000,106000,Diesel,Individual,Automatic,Second Owner,5,16.96,1968,138.1,320.0,13.217673557208654
Chevrolet Aveo U-VA 1.2 LS,2008,150000,60000,Petrol,Individual,Manual,Fourth & Above Owner,5,15.26,1150,74.9,110.0,11.918390573078392
Maruti Omni E MPI STD BS IV,2017,265000,40000,Petrol,Individual,Manual,Second Owner,8,16.8,796,34.2,59.0,12.487485104968359
Hyundai i20 1.2 Asta,2011,300000,138000,Petrol,Individual,Manual,Third Owner,5,17.0,1197,80.0,111.834,12.611537753638338
Maruti Alto 800 LXI,2015,280000,80000,Petrol,Individual,Manual,First Owner,5,22.74,796,47.3,69.0,12.542544882151386
Hyundai Getz GLS,2005,130000,50000,Petrol,Individual,Manual,Second Owner,5,15.3,1341,83.0,115.0,11.77528972943772
Chevrolet Sail 1.2 LS ABS,2015,350000,50000,Petrol,Individual,Manual,First Owner,5,18.2,1199,82.4,108.5,12.765688433465597
Maruti Ritz VXi,2009,200000,120000,Petrol,Individual,Manual,First Owner,5,18.5,1197,85.8,114.0,12.206072645530174
Maruti Swift VXI,2018,550000,24400,Petrol,Individual,Manual,First Owner,5,22.0,1197,81.8,113.0,13.217673557208654
Mahindra Bolero 2011-2019 SLX,2013,400000,60000,Diesel,Individual,Manual,Second Owner,7,15.96,2523,62.1,195.0,12.89921982609012
Maruti Ritz VXi (ABS) BS IV,2010,170000,120000,Petrol,Individual,Manual,Second Owner,5,18.5,1197,85.8,114.0,12.043553716032399
Hyundai Verna 1.4 CRDi,2015,600000,60000,Diesel,Individual,Manual,Second Owner,5,24.8,1396,88.7,219.7,13.304684934198283
Maruti Alto LXi,2011,130000,100000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,62.0,11.77528972943772
Hyundai Santro Xing GL PLUS CNG,2007,120000,60000,CNG,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,11.695247021764184
Maruti 800 AC,2011,100000,120000,Petrol,Individual,Manual,Second Owner,4,16.1,796,37.0,59.0,11.512925464970229
Maruti 800 AC,2007,35000,10000,Petrol,Individual,Manual,First Owner,4,16.1,796,37.0,59.0,10.46310334047155
Hyundai i20 Magna,2010,200000,120000,Petrol,Individual,Manual,Third Owner,5,18.5,1197,80.0,111.834,12.206072645530174
Maruti Swift VDI BSIV,2009,270000,70000,Diesel,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,12.506177237980511
Hyundai Xcent 1.1 CRDi S Option,2015,509999,90000,Diesel,Individual,Manual,First Owner,5,24.4,1120,71.01,180.4,13.142164043914272
Renault Duster 110PS Diesel RxZ,2014,409999,188000,Diesel,Individual,Manual,Second Owner,5,19.01,1461,108.45,248.0,12.923909999653127
Chevrolet Spark 1.0 LT,2011,130000,67840,Petrol,Individual,Manual,First Owner,5,18.0,995,62.0,90.3,11.77528972943772
Maruti Alto 800 LXI,2016,225000,35000,Petrol,Individual,Manual,Second Owner,5,22.74,796,47.3,69.0,12.323855681186558
Maruti Swift VDI BSIV,2010,256999,150000,Diesel,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,12.456827472819203
Maruti Vitara Brezza VDi Option,2017,775000,100000,Diesel,Individual,Manual,First Owner,5,24.3,1248,88.5,200.0,13.560618308335483
Maruti Wagon R VXI BS IV,2017,420000,30000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,90.0,12.948009990259552
Hyundai Grand i10 Sportz Celebration Edition,2016,480000,70000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82.0,114.0,13.081541382884074
Toyota Qualis GS G1,2003,200000,149032,Diesel,Individual,Manual,First Owner,5,19.2,1248,82.0,180.0,12.206072645530174
Mahindra Bolero SLE,2010,260000,380000,Diesel,Individual,Manual,Second Owner,7,13.6,2523,63.0,180.0,12.468436909997665
Toyota Etios Liva G,2011,210000,84050,Petrol,Individual,Manual,First Owner,5,19.2,1248,82.0,180.0,12.254862809699606
Volkswagen Polo 2015-2019 1.2 MPI Highline Plus,2018,600000,15000,Petrol,Individual,Manual,First Owner,5,16.2,1199,74.0,110.0,13.304684934198283
Maruti Omni 8 Seater BSII,2010,130000,120000,Petrol,Individual,Manual,Third Owner,8,19.7,796,35.0,59.841,11.77528972943772
Maruti Swift VDI BSIV,2007,195000,112880,Diesel,Dealer,Manual,First Owner,5,25.2,1248,74.0,190.0,12.180754837545884
Tata Indica Vista TDI LS,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,5,19.4,1405,70.0,135.4,12.254862809699606
Maruti Wagon R LX,2006,130000,80000,Petrol,Individual,Manual,Third Owner,5,18.9,998,67.1,90.0,11.77528972943772
Chevrolet Beat LT,2012,141000,128000,Petrol,Individual,Manual,Third Owner,5,18.6,1199,79.4,108.0,11.856515169360305
Mahindra Bolero SLE BSIII,2011,280000,120000,Diesel,Individual,Manual,First Owner,7,13.6,2523,63.0,180.0,12.542544882151386
Maruti SX4 ZXI AT Leather,2010,350000,30000,Petrol,Individual,Automatic,First Owner,5,12.6,1586,103.2,145.0,12.765688433465597
Hyundai i20 Sportz Option 1.2,2015,550000,41000,Petrol,Individual,Manual,First Owner,5,18.6,1197,81.83,114.7,13.217673557208654
Maruti Alto LX,2006,120000,30000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,62.0,11.695247021764184
Maruti Alto K10 VXI,2015,320000,30000,Petrol,Individual,Manual,First Owner,5,23.95,998,67.05,90.0,12.676076274775909
Maruti SX4 Zxi BSIII,2010,300000,22000,Petrol,Individual,Manual,First Owner,5,15.0,1586,104.68,981.0,12.611537753638338
Maruti Wagon R VXI,2006,250000,70000,Petrol,Individual,Manual,First Owner,5,18.9,998,67.1,90.0,12.429216196844383
Maruti Omni E 8 Str STD,2005,120000,100000,Petrol,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,11.695247021764184
Mahindra Scorpio 2.6 CRDe,2005,151000,200000,Diesel,Individual,Manual,Second Owner,8,10.5,2179,120.0,290.0,11.925035115797062
Tata Safari DICOR 2.2 EX 4x2,2011,300000,120000,Diesel,Individual,Manual,First Owner,7,13.93,2179,138.03,320.0,12.611537753638338
Maruti Ignis 1.2 Zeta BSIV,2019,577000,3000,Petrol,Individual,Manual,First Owner,5,20.89,1197,81.8,113.0,13.265597545490236
Maruti Alto K10 2010-2014 VXI,2012,229999,50000,Petrol,Individual,Manual,First Owner,5,20.92,998,67.1,90.0,12.345830240069793
Mahindra Bolero 2011-2019 ZLX,2013,500000,50000,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,195.0,13.122363377404328
Honda Jazz VX CVT,2019,840000,1500,Petrol,Individual,Automatic,First Owner,5,18.2,1199,88.7,110.0,13.641157170819497
Volkswagen Vento 1.5 TDI Highline,2017,900000,74000,Diesel,Individual,Manual,First Owner,5,22.27,1498,108.6,250.0,13.710150042306449
Honda Jazz 1.2 V i VTEC,2017,650000,25000,Petrol,Individual,Manual,First Owner,5,18.7,1199,88.7,110.0,13.38472764187182
Honda Jazz 1.5 VX i DTEC,2016,650000,61915,Diesel,Individual,Manual,First Owner,5,27.3,1498,98.6,200.0,13.38472764187182
Volkswagen Polo 1.5 TDI Comfortline,2016,550000,70000,Diesel,Individual,Manual,First Owner,5,20.14,1498,88.0,230.0,13.217673557208654
Maruti Swift Ldi BSIII,2007,250000,150000,Diesel,Individual,Manual,Fourth & Above Owner,5,17.8,1248,75.0,190.0,12.429216196844383
Mahindra Quanto C4,2013,350000,110000,Diesel,Individual,Manual,Second Owner,7,17.21,1493,100.0,240.0,12.765688433465597
Chevrolet Beat Diesel LT,2014,185000,90000,Diesel,Individual,Manual,Second Owner,5,25.44,936,56.3,142.5,12.128111104060462
Toyota Innova 2.5 G (Diesel) 8 Seater,2016,1000000,65000,Diesel,Individual,Manual,First Owner,8,12.99,2494,100.6,200.0,13.815510557964274
Maruti Wagon R VXI 1.2,2019,490000,10000,Petrol,Individual,Manual,First Owner,5,20.52,1197,81.8,113.0,13.102160670086809
Hyundai i10 Sportz,2009,150000,80000,Petrol,Individual,Manual,Second Owner,5,20.36,1197,78.9,111.8,11.918390573078392
Maruti Ertiga VDI,2013,600000,184000,Diesel,Individual,Manual,First Owner,7,20.77,1248,88.76,200.0,13.304684934198283
Maruti Wagon R CNG LXI,2013,270000,80000,CNG,Individual,Manual,Second Owner,5,22.764,998,58.33,78.0,12.506177237980511
Maruti Zen LXi - BS III,2005,60000,70000,Petrol,Individual,Manual,Second Owner,5,17.3,993,60.0,78.0,11.002099841204238
Maruti SX4 Zxi with Leather BSIII,2008,150000,89000,Petrol,Individual,Manual,Second Owner,5,15.6,1586,104.68,981.0,11.918390573078392
Maruti Swift VDI,2013,525000,69000,Diesel,Individual,Manual,Second Owner,5,22.9,1248,74.0,190.0,13.17115354157376
Tata Indica V2 eLX,2012,83000,90000,Diesel,Individual,Manual,Second Owner,5,25.0,1396,69.0,140.0,11.326595886778735
Hyundai i20 1.2 Sportz,2012,350000,35000,Petrol,Individual,Manual,First Owner,5,17.0,1197,80.0,111.834,12.765688433465597
Hyundai i20 1.2 Sportz,2011,300000,45000,Petrol,Individual,Manual,First Owner,5,17.0,1197,80.0,111.834,12.611537753638338
Fiat Linea 1.3 Active,2011,250000,30000,Diesel,Individual,Manual,First Owner,5,20.4,1248,91.2,209.0,12.429216196844383
Maruti Ertiga VXI Petrol,2018,700000,6200,Petrol,Individual,Manual,First Owner,7,19.34,1462,103.0,138.0,13.458835614025542
Maruti Celerio X ZXI,2020,250000,120000,Petrol,Individual,Manual,Second Owner,5,21.63,998,67.0,90.0,12.429216196844383
Maruti Wagon R LXI BS IV,2016,350000,70000,Petrol,Individual,Manual,First Owner,5,20.51,998,67.04,90.0,12.765688433465597
Maruti Omni 5 Str STD,1998,80000,70000,Petrol,Individual,Manual,First Owner,5,14.0,796,35.0,59.841,11.289781913656018
Mahindra Scorpio S2 7 Seater,2017,850000,110000,Diesel,Individual,Manual,First Owner,7,15.4,2523,75.0,200.0,13.652991628466498
Hyundai Santro Xing XG,2004,70000,158000,Petrol,Individual,Manual,First Owner,5,19.2,1248,82.0,180.0,11.156250521031495
Chevrolet Spark 1.0 LS,2007,90000,93000,Petrol,Individual,Manual,Third Owner,5,18.0,995,62.0,90.3,11.407564949312402
Chevrolet Tavera Neo 3 10 Seats BSIII,2014,600000,110000,Diesel,Individual,Manual,First Owner,10,13.58,2499,72.4,171.0,13.304684934198283
Maruti Alto LX,2007,135000,57000,Petrol,Individual,Manual,First Owner,5,19.7,796,46.3,62.0,11.813030057420567
Hyundai Accent GLE,2005,150000,120000,Petrol,Individual,Manual,First Owner,5,13.2,1495,94.0,4905.0,11.918390573078392
Tata Indigo eCS LX BSIV,2012,246000,35000,Diesel,Individual,Manual,Second Owner,5,23.03,1396,69.0,140.0,12.4130868149145
Maruti Swift Dzire VXi,2009,240000,120000,Petrol,Individual,Manual,First Owner,5,17.5,1298,85.8,114.0,12.388394202324129
Tata Indigo eCS LX BSIV,2011,215000,70000,Diesel,Individual,Manual,First Owner,5,23.03,1396,69.0,140.0,12.2783933071098
Honda Amaze S i-Dtech,2013,310000,100000,Diesel,Individual,Manual,First Owner,5,25.8,1498,98.6,200.0,12.644327576461329
Hyundai i10 Magna,2008,220000,35000,Petrol,Individual,Manual,First Owner,5,20.36,1197,78.9,111.7,12.301382825334498
Maruti Swift Vdi BSIII,2008,195000,90000,Diesel,Individual,Manual,Third Owner,5,17.8,1248,75.0,190.0,12.180754837545884
Hyundai i20 Active 1.2 S,2015,650000,50000,Petrol,Individual,Manual,First Owner,5,17.19,1197,81.86,114.73,13.38472764187182
Hyundai i20 1.2 Magna,2011,350000,98000,Petrol,Individual,Manual,First Owner,5,18.5,1197,80.0,111.834,12.765688433465597
Hyundai i20 Asta 1.2,2013,360000,30000,Petrol,Individual,Manual,First Owner,5,18.5,1197,82.85,113.7,12.793859310432293
Hyundai Elantra SX,2013,550000,50000,Petrol,Individual,Manual,Second Owner,5,16.3,1797,147.5,177.5,13.217673557208654
Hyundai Grand i10 Sportz,2016,490000,26000,Petrol,Individual,Manual,First Owner,5,18.9,1197,82.0,114.0,13.102160670086809
Maruti Alto LXi,2011,195000,46000,Petrol,Individual,Manual,Second Owner,5,19.7,796,46.3,62.0,12.180754837545884
Tata Tiago 1.2 Revotron XZ,2019,459999,10000,Petrol,Individual,Manual,First Owner,5,23.84,1199,84.0,114.0,13.038979594549872
Maruti Alto 800 LXI,2015,275000,16700,Petrol,Individual,Manual,First Owner,5,22.74,796,47.3,69.0,12.524526376648708
Maruti Swift Dzire VDI,2018,680000,70000,Diesel,Individual,Manual,First Owner,5,28.4,1248,74.02,190.0,13.42984807715229
Maruti Swift Dzire ZXI,2015,600000,7967,Petrol,Individual,Manual,First Owner,5,20.85,1197,83.14,115.0,13.304684934198283
Maruti Swift ZXI Plus,2018,720000,20000,Petrol,Individual,Manual,First Owner,5,22.0,1197,81.8,113.0,13.487006490992238
Maruti Swift VDI BSIV,2011,295000,50000,Diesel,Individual,Manual,First Owner,5,19.2,1248,82.0,180.0,12.594730635321957
Renault KWID RXT Optional,2016,356000,9656,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,72.0,12.782686009834167
Hyundai i10 Era,2011,225000,50000,Petrol,Individual,Manual,First Owner,5,19.81,1086,68.05,99.04,12.323855681186558
Ford Freestyle Titanium Diesel BSIV,2019,725000,17000,Diesel,Individual,Manual,First Owner,5,24.4,1498,98.63,215.0,13.493926933836812
Renault KWID RXT,2015,300000,10000,Petrol,Individual,Manual,First Owner,5,25.17,799,53.3,72.0,12.611537753638338
Hyundai i20 Sportz 1.2,2013,400000,43000,Petrol,Individual,Manual,Second Owner,5,18.5,1197,82.85,113.7,12.89921982609012
Hyundai Verna 1.4 CX,2013,550000,50000,Diesel,Individual,Manual,First Owner,5,23.5,1396,88.7,219.9,13.217673557208654
Maruti Wagon R PRIMEA,2006,120000,90000,Petrol,Individual,Manual,Second Owner,5,18.9,998,67.0,90.0,11.695247021764184
Mahindra Xylo D4 BSIV,2012,409999,100000,Diesel,Individual,Manual,Second Owner,8,14.0,2498,112.0,260.0,12.923909999653127
Hyundai Santro Xing (Non-AC),2010,110000,80000,Petrol,Individual,Manual,Second Owner,5,0.0,1086,62.1,96.1,11.608235644774552
Mahindra Bolero 2011-2019 SLX,2012,450000,120000,Diesel,Individual,Manual,First Owner,7,15.96,2523,62.1,195.0,13.017002861746503
Maruti Swift VXI,2019,610000,5000,Petrol,Individual,Manual,First Owner,5,21.21,1197,81.8,113.0,13.321214236149494
Ford Ecosport 1.5 DV5 MT Trend,2016,515000,68609,Diesel,Dealer,Manual,First Owner,5,22.7,1498,89.84,204.0,13.151922179645874
Ford EcoSport 1.5 TDCi Titanium BE BSIV,2018,925000,33360,Diesel,Dealer,Manual,First Owner,5,22.77,1498,98.59,205.0,13.737549016494562
Nissan Kicks XL BSIV,2019,860000,14317,Petrol,Dealer,Manual,First Owner,5,14.23,1498,104.55,142.0,13.664687668229691
Ford Figo Diesel Titanium,2012,225000,87237,Diesel,Dealer,Manual,Second Owner,5,20.0,1399,68.05,160.0,12.323855681186558
Ford Figo 1.5D Trend MT,2017,500000,62960,Diesel,Dealer,Manual,First Owner,5,25.83,1498,99.0,215.0,13.122363377404328
Maruti Swift Dzire AMT VXI,2017,600000,26634,Petrol,Dealer,Automatic,First Owner,5,21.21,1197,81.8,113.0,13.304684934198283
Maruti Wagon R LXI BS IV,2012,265000,67998,Petrol,Dealer,Manual,First Owner,5,18.9,998,67.1,90.0,12.487485104968359
Ford Freestyle Trend Diesel,2018,650000,20706,Diesel,Dealer,Manual,First Owner,5,23.8,1499,98.63,215.0,13.38472764187182
Renault Duster 85PS Diesel RxE Adventure,2015,600000,67303,Diesel,Dealer,Manual,First Owner,5,20.45,1461,83.8,200.0,13.304684934198283
Maruti Ritz VXi,2013,340000,79139,Petrol,Dealer,Manual,First Owner,5,18.5,1197,85.8,114.0,12.736700896592344
Hyundai Grand i10 CRDi Sportz,2014,350000,84784,Diesel,Dealer,Manual,First Owner,5,24.0,1120,70.0,160.0,12.765688433465597
Maruti Ritz LDi,2012,265000,130376,Diesel,Dealer,Manual,Second Owner,5,23.2,1248,73.94,190.0,12.487485104968359
Tata Safari DICOR 2.2 EX 4x2,2017,625000,72000,Diesel,Individual,Manual,First Owner,7,13.93,2179,138.03,320.0,13.345506928718539
Hyundai Verna CRDi SX,2008,245000,127000,Diesel,Individual,Manual,Second Owner,5,16.8,1493,110.0,7357.5,12.409013489526863
Maruti Swift VDI BSIV,2014,395000,120000,Diesel,Individual,Manual,First Owner,5,25.2,1248,74.0,190.0,12.886641043883259
Fiat Punto 1.3 Emotion,2010,190000,120000,Diesel,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,12.154779351142624
Hyundai Xcent 1.1 CRDi S,2014,490000,100000,Diesel,Individual,Manual,First Owner,5,24.4,1120,71.0,180.4,13.102160670086809
Toyota Etios GD,2012,450000,148000,Diesel,Individual,Manual,Second Owner,5,19.2,1248,82.0,180.0,13.017002861746503
Maruti Ertiga SHVS VDI,2018,955000,40000,Diesel,Individual,Manual,First Owner,7,24.52,1248,88.5,200.0,13.769466619462868
Maruti Swift Dzire VDI,2013,525000,110000,Diesel,Individual,Manual,First Owner,5,23.4,1248,74.0,190.0,13.17115354157376
Tata Tigor 1.2 Revotron XZ Option,2017,550000,30000,Petrol,Individual,Manual,First Owner,5,20.3,1199,84.0,114.0,13.217673557208654
Tata Indica Vista TDI LX,2014,200000,120000,Diesel,Individual,Manual,Second Owner,5,19.1,1405,70.0,135.4,12.206072645530174
